x,y,z,yaw,velocity,change_flag
639771.2939,5195039.2854,245.0000,1.6399,0,0
639771.2196,5195040.2915,245.0000,1.6438,4.5504,0
639771.1256,5195041.2997,245.0000,1.6498,6.6506,0
639771.0257,5195042.2964,245.0000,1.6549,8.2841,0
639770.9209,5195043.3429,245.0000,1.6580,9.6842,0
639770.8214,5195044.3624,245.0000,1.6592,10.8510,0
639770.7225,5195045.4220,245.0000,1.6582,11.6677,0
639770.6330,5195046.4225,245.0000,1.6564,12.3678,0
639770.5441,5195047.4762,245.0000,1.6540,12.9512,0
639770.4618,5195048.4968,245.0000,1.6515,13.4179,0
639770.3805,5195049.5497,245.0000,1.6489,13.6513,0
639770.3025,5195050.6078,245.0000,1.6454,13.6513,0
639770.2307,5195051.6580,245.0000,1.6411,13.5346,0
639770.1660,5195052.6986,245.0000,1.6364,13.3012,0
639770.1086,5195053.7190,245.0000,1.6316,12.9512,0
639770.0553,5195054.7878,245.0000,1.6264,12.7178,0
639770.0090,5195055.8313,245.0000,1.6211,12.4845,0
639769.9693,5195056.8508,245.0000,1.6159,12.2511,0
639769.9335,5195057.9126,245.0000,1.6100,11.9011,0
639769.9050,5195058.9507,245.0000,1.6011,11.6677,0
639769.8906,5195059.9635,245.0000,1.5874,11.4344,0
639769.8981,5195061.0138,245.0000,1.5650,11.0844,0
639769.9407,5195062.0375,245.0000,1.5325,10.8510,0
639770.0283,5195063.0343,245.0000,1.4886,10.6176,0
639770.1802,5195064.0527,245.0000,1.4294,10.2676,0
639770.4034,5195065.0307,245.0000,1.3555,10.0343,0
639770.7261,5195066.0101,245.0000,1.2624,9.6842,0
639771.1636,5195066.9668,245.0000,1.1525,9.4509,0
639771.6988,5195067.8525,245.0000,1.0381,9.3342,0
639772.3218,5195068.6613,245.0000,0.9214,9.4509,0
639773.0471,5195069.4106,245.0000,0.8033,9.6842,0
639773.8282,5195070.0594,245.0000,0.6928,9.8009,0
639774.6905,5195070.6320,245.0000,0.5829,9.9176,0
639775.6243,5195071.1187,245.0000,0.4779,10.1509,0
639776.5642,5195071.5020,245.0000,0.3868,10.3843,0
639777.5529,5195071.8158,245.0000,0.3069,10.6176,0
639778.5327,5195072.0629,245.0000,0.2442,11.0844,0
639779.5734,5195072.2745,245.0000,0.1944,11.6677,0
639780.6121,5195072.4516,245.0000,0.1566,12.2511,0
639781.6432,5195072.5998,245.0000,0.1237,12.9512,0
639782.6522,5195072.7168,245.0000,0.0971,13.4179,0
639783.7046,5195072.8137,245.0000,0.0747,13.8846,0
639784.7182,5195072.8882,245.0000,0.0567,14.3513,0
639785.7677,5195072.9482,245.0000,0.0417,14.9347,0
639786.8512,5195072.9961,245.0000,0.0306,15.4014,0
639787.8793,5195073.0344,245.0000,0.0238,15.7515,0
639788.9280,5195073.0706,245.0000,0.0197,15.9848,0
639789.9861,5195073.1073,245.0000,0.0177,15.9848,0
639791.0407,5195073.1451,245.0000,0.0167,15.6348,0
639792.0807,5195073.1844,245.0000,0.0167,15.6348,0
639793.1069,5195073.2244,245.0000,0.0173,15.4014,0
639794.1119,5195073.2661,245.0000,0.0185,15.0514,0
639795.1763,5195073.3121,245.0000,0.0199,14.8180,0
639796.2161,5195073.3591,245.0000,0.0214,14.4680,0
639797.2304,5195073.4071,245.0000,0.0230,14.1180,0
639798.2966,5195073.4584,245.0000,0.0245,13.7679,0
639799.3367,5195073.5104,245.0000,0.0258,13.4179,0
639800.3513,5195073.5600,245.0000,0.0248,13.1846,0
639801.4110,5195073.6072,245.0000,0.0200,12.8345,0
639802.4482,5195073.6409,245.0000,0.0095,12.4845,0
639803.4599,5195073.6519,245.0000,-0.0094,12.2511,0
639804.5185,5195073.6253,245.0000,-0.0446,12.0178,0
639805.5497,5195073.5382,245.0000,-0.0979,11.6677,0
639806.5527,5195073.3725,245.0000,-0.1650,11.5511,0
639807.5769,5195073.0995,245.0000,-0.2518,11.3177,0
639808.5519,5195072.7225,245.0000,-0.3493,11.0844,0
639809.4590,5195072.2457,245.0000,-0.4555,10.8510,0
