x,y,z,yaw,velocity,change_flag
0.0,0.0,245.0000,1.6399,0,0
-0.0743000000948,1.00609999988,245.0000,1.6438,4.5504,0
-0.168300000019,2.01429999992,245.0000,1.6498,6.6506,0
-0.26820000005,3.01099999994,245.0000,1.6549,8.2841,0
-0.373000000021,4.05749999918,245.0000,1.6580,9.6842,0
-0.472500000033,5.07699999958,245.0000,1.6592,10.8510,0
-0.571400000015,6.13659999985,245.0000,1.6582,11.6677,0
-0.660900000017,7.13709999993,245.0000,1.6564,12.3678,0
-0.749799999991,8.19079999998,245.0000,1.6540,12.9512,0
-0.8321,9.21139999945,245.0000,1.6515,13.4179,0
-0.913400000078,10.2642999999,245.0000,1.6489,13.6513,0
-0.991400000057,11.3223999999,245.0000,1.6454,13.6513,0
-1.06320000009,12.3725999994,245.0000,1.6411,13.5346,0
-1.12790000008,13.4131999994,245.0000,1.6364,13.3012,0
-1.18530000001,14.4335999992,245.0000,1.6316,12.9512,0
-1.23860000004,15.5023999996,245.0000,1.6264,12.7178,0
-1.28490000009,16.5458999993,245.0000,1.6211,12.4845,0
-1.32460000005,17.5653999997,245.0000,1.6159,12.2511,0
-1.36040000001,18.6272,245.0000,1.6100,11.9011,0
-1.38890000002,19.6652999995,245.0000,1.6011,11.6677,0
-1.40330000001,20.6780999992,245.0000,1.5874,11.4344,0
-1.39580000006,21.7283999994,245.0000,1.5650,11.0844,0
-1.35320000001,22.7520999992,245.0000,1.5325,10.8510,0
-1.26560000004,23.7489,245.0000,1.4886,10.6176,0
-1.1137000001,24.7672999995,245.0000,1.4294,10.2676,0
-0.890500000096,25.7452999996,245.0000,1.3555,10.0343,0
-0.567800000077,26.7246999992,245.0000,1.2624,9.6842,0
-0.130300000077,27.6813999992,245.0000,1.1525,9.4509,0
0.404899999965,28.5670999996,245.0000,1.0381,9.3342,0
1.02789999999,29.3758999994,245.0000,0.9214,9.4509,0
1.75319999992,30.1251999997,245.0000,0.8033,9.6842,0
2.53429999994,30.7739999993,245.0000,0.6928,9.8009,0
3.39659999998,31.3465999998,245.0000,0.5829,9.9176,0
4.33039999998,31.8333000001,245.0000,0.4779,10.1509,0
5.27029999997,32.2165999999,245.0000,0.3868,10.3843,0
6.25899999996,32.5303999996,245.0000,0.3069,10.6176,0
7.23879999993,32.7774999999,245.0000,0.2442,11.0844,0
8.27949999995,32.9890999999,245.0000,0.1944,11.6677,0
9.31819999998,33.1661999999,245.0000,0.1566,12.2511,0
10.3493,33.3143999996,245.0000,0.1237,12.9512,0
11.3583,33.4313999992,245.0000,0.0971,13.4179,0
12.4107,33.5282999994,245.0000,0.0747,13.8846,0
13.4243,33.6027999995,245.0000,0.0567,14.3513,0
14.4737999999,33.6628,245.0000,0.0417,14.9347,0
15.5573,33.7106999997,245.0000,0.0306,15.4014,0
16.5854,33.7489999998,245.0000,0.0238,15.7515,0
17.6340999999,33.7851999998,245.0000,0.0197,15.9848,0
18.6921999999,33.8218999999,245.0000,0.0177,15.9848,0
19.7468,33.8596999999,245.0000,0.0167,15.6348,0
20.7868,33.8989999993,245.0000,0.0167,15.6348,0
21.813,33.9389999993,245.0000,0.0173,15.4014,0
22.818,33.9806999993,245.0000,0.0185,15.0514,0
23.8824,34.0266999993,245.0000,0.0199,14.8180,0
24.9221999999,34.0736999996,245.0000,0.0214,14.4680,0
25.9365,34.1217,245.0000,0.0230,14.1180,0
27.0027,34.1729999995,245.0000,0.0245,13.7679,0
28.0427999999,34.2249999996,245.0000,0.0258,13.4179,0
29.0573999999,34.2745999992,245.0000,0.0248,13.1846,0
30.1170999999,34.3218,245.0000,0.0200,12.8345,0
31.1542999999,34.3554999996,245.0000,0.0095,12.4845,0
32.166,34.3664999995,245.0000,-0.0094,12.2511,0
33.2246,34.3399,245.0000,-0.0446,12.0178,0
34.2557999999,34.2527999999,245.0000,-0.0979,11.6677,0
35.2588,34.0870999992,245.0000,-0.1650,11.5511,0
